,Id,Abbreviation,Display Name
+
0,1,ATL,Atlanta Hawks

1,2,BOS,Boston Celtics

18,3,NO,New Orleans Pelicans

4,4,CHI,Chicago Bulls

5,5,CLE,Cleveland Cavaliers

6,6,DAL,Dallas Mavericks

7,7,DEN,Denver Nuggets

8,8,DET,Detroit Pistons

9,9,GS,Golden State Warriors

10,10,HOU,Houston Rockets

11,11,IND,Indiana Pacers

12,12,LAC,LA Clippers

13,13,LAL,Los Angeles Lakers

15,14,MIA,Miami Heat

16,15,MIL,Milwaukee Bucks

17,16,MIN,Minnesota Timberwolves

2,17,BKN,Brooklyn Nets

19,18,NY,New York Knicks

21,19,ORL,Orlando Magic

22,20,PHI,Philadelphia 76ers

23,21,PHX,Phoenix Suns

24,22,POR,Portland Trail Blazers

25,23,SAC,Sacramento Kings

26,24,SA,San Antonio Spurs

20,25,OKC,Oklahoma City Thunder

28,26,UTAH,Utah Jazz

29,27,WSH,Washington Wizards

27,28,TOR,Toronto Raptors

14,29,MEM,Memphis Grizzlies

3,30,CHA,Charlotte Hornets

