,Team,Wins,Loses
0,Atlanta Hawks,41,41
1,Boston Celtics,57,25
2,New Orleans Pelicans,42,39
3,Chicago Bulls,40,42
4,Cleveland Cavaliers,51,31
5,Dallas Mavericks,38,44
6,Denver Nuggets,53,29
7,Detroit Pistons,17,65
8,Golden State Warriors,44,38
9,Houston Rockets,22,60
10,Indiana Pacers,35,47
11,LA Clippers,44,38
12,Los Angeles Lakers,43,39
13,Miami Heat,44,38
14,Milwaukee Bucks,58,24
15,Minnesota Timberwolves,41,40
16,Brooklyn Nets,45,37
17,New York Knicks,47,35
18,Orlando Magic,34,48
19,Philadelphia 76ers,54,28
20,Phoenix Suns,45,37
21,Portland Trail Blazers,33,49
22,Sacramento Kings,48,34
23,San Antonio Spurs,22,60
24,Oklahoma City Thunder,40,42
25,Utah Jazz,37,45
26,Washington Wizards,35,47
27,Toronto Raptors,41,41
28,Memphis Grizzlies,51,31
29,Charlotte Hornets,27,55
